Gene Systematic Name,Gene Standard Name,WT_1.rpkm,WT_2.rpkm,WT_3.rpkm,r0_1.rpkm,r0_2.rpkm,r0_3.rpkm,log2 (r0/WT),P value (r0/WT),FDR (r0/WT)
YPR119W,CLB2,59.80783519,58.40809075,58.93425238,49.08495805,50.51119091,41.85210855,-0.406799404,3.61E-07,1.47E-06
YPR118W,MRI1,142.9729417,142.1346294,146.3858168,112.9770557,115.7255032,109.6997515,-0.435186969,1.46E-10,1.24E-09
YPR117W,-,15.2402884,14.94463636,15.0009429,17.9893555,16.33689921,17.07647219,0.099412665,0.02701226,0.04592922
YPR116W,RRG8,7.76146362,10.38460727,8.558023145,6.958280401,5.561838056,7.160413879,-0.53525926,0.002200728,0.004642507
YPR115W,RGC1,34.5349331,35.72123498,38.27129792,34.01710074,34.23301062,35.25175146,-0.153205749,0.00179992,0.003864486
YPR114W,-,152.4378473,149.4419877,148.601541,163.2725539,158.8003969,164.299478,0.02416705,0.522194168,0.612838544
YPR113W,PIS1,193.6792471,197.5028234,178.3002164,243.8517166,252.6314509,246.2957167,0.296452016,6.83E-07,2.62E-06
YPR112C,MRD1,116.7228421,116.3215059,116.7126909,102.5200359,98.39397143,88.93147322,-0.355904292,1.92E-08,9.88E-08
YPR111W,DBF20,22.19744252,22.17282696,22.37014236,21.39825167,20.84807789,23.21831462,-0.116063862,0.071235867,0.109733417
YPR110C,RPC40,360.8185474,368.3535659,364.2158384,288.4871214,275.4361853,265.5292198,-0.483966661,3.72E-12,4.51E-11
YPR109W,-,36.38810935,34.29649366,36.69506263,46.61826737,45.647179,44.13711744,0.261061497,0.000322245,0.000786975
YPR108W-A,-,0,1.492141528,1.256582976,0.425704655,0.395951595,0.459615576,-1.089766864,0.285312965,0.371146438
YPR108W,RPN7,152.1043808,148.6268389,149.2489383,149.438174,154.0960735,146.1641663,-0.086102038,0.025384069,0.043367748
YPR107C,YTH1,29.03585822,27.7527615,29.73913043,30.51426523,32.2823693,33.72566732,0.071985716,0.392943401,0.483445213
YPR106W,ISR1,24.29827575,23.02569297,25.25146886,31.45036956,29.9487442,34.83761843,0.319397849,0.000116501,0.000305889
YPR105C,COG4,37.73448934,39.29810905,39.98567537,38.88579909,38.90752665,38.80339156,-0.090279008,0.036486801,0.060396037
YPR104C,FHL1,33.93693755,34.54140428,34.72210106,33.38623966,32.5229654,32.4933987,-0.154190945,0.001077589,0.002411716
YPR103W,PRE2,201.1593503,202.0439935,195.5760869,204.1239038,192.3953548,181.7460424,-0.135777955,0.003143578,0.006442662
YPR102C,RPL11A,857.2181758,858.1305927,844.93118,607.0913267,620.7253969,648.9246654,-0.53415912,4.65E-13,7.45E-12
YPR101W,SNT309,41.06960835,45.1457593,44.27075098,45.68101199,50.79429045,40.42005614,-0.010449581,0.901463492,0.950833162
YPR100W,MRPL51,120.3178237,138.438457,141.946346,263.0220738,255.6050078,242.7780742,0.842844783,7.19E-13,1.08E-11
YPR099C,-,118.3101423,138.4368785,138.4493971,254.2458447,246.8708287,233.9134295,0.81166292,4.12E-12,4.95E-11
YPR098C,-,43.45341646,43.81553857,39.28502415,70.52507114,70.62847685,73.7257429,0.673962233,6.45E-09,3.65E-08
YPR097W,-,46.60925118,47.1017953,45.21787709,42.27001471,42.95411203,42.9025891,-0.202970027,2.35E-05,6.91E-05
YPR096C,-,4.539687756,6.555819832,5.594489883,6.583670008,4.453475369,5.169537564,-0.133154897,0.632694053,0.714399908
YPR095C,SYT1,18.31044393,18.95214315,19.19591793,18.5981239,18.78753209,19.09558502,-0.084951481,0.07808697,0.118873691
YPR094W,RDS3,43.70314874,47.57582733,45.71014492,53.45352614,50.49849327,51.66845097,0.097293789,0.284229023,0.37000658
YPR093C,ASR1,15.67869364,14.84655005,18.52264179,21.43990052,22.56787086,21.34111215,0.334685268,0.00213496,0.004521166
YPR092W,-,21.153793,20.5132888,24.78260869,24.29855392,23.70274942,28.15370703,0.110690898,0.42269203,0.512873048
YPR091C,NVJ2,45.05675599,44.79521116,45.09084756,50.45345557,51.1568434,51.04415471,0.092273232,0.026594238,0.045283284
YPR089W,-,47.26766267,48.59153011,49.84398688,53.48028455,50.12194913,51.13313755,0.001314029,0.973353513,1
YPR088C,SRP54,148.3907356,157.2027537,151.3293759,134.2838993,131.2265407,123.6671178,-0.316677804,3.13E-08,1.55E-07
YPR087W,VPS69,131.8306357,132.9226169,133.1312474,123.4424142,119.018609,113.4520242,-0.245349144,0.000313078,0.000766664
YPR086W,SUA7,124.7217853,135.7956604,123.0821814,123.8702117,119.9252699,127.8900265,-0.133094176,0.005884734,0.01147008
